2025-11-28 00:20:40 | INFO     | src.api.webhooks:318 | /InspectAI review command detected on hj2713/2020-Coding-Challenge#1 by comse6998-inspectai[bot]
2025-11-28 00:20:40 | INFO     | src.api.webhooks:167 | Handling /InspectAI review command for hj2713/2020-Coding-Challenge#1 by comse6998-inspectai[bot]
2025-11-28 00:20:40 | INFO     | src.api.webhooks:173 | Using GitHub App installation token for installation 96944994
2025-11-28 00:20:40 | INFO     | src.github.client:551 | Posting comment on PR #1
2025-11-28 00:20:41 | INFO     | src.api.webhooks:207 | Successfully posted Hello World comment on hj2713/2020-Coding-Challenge#1
2025-11-28 00:20:42 | WARNING  | src.api.webhooks:242 | Webhook signature verification SKIPPED - no secret configured
2025-11-28 00:20:42 | INFO     | src.api.webhooks:255 | Received issue_comment event (delivery: fb991e10-cc19-11f0-8ab6-08f6f8867aa4)
2025-11-28 00:20:42 | INFO     | src.api.webhooks:318 | /InspectAI review command detected on hj2713/2020-Coding-Challenge#1 by comse6998-inspectai[bot]
2025-11-28 00:20:42 | INFO     | src.api.webhooks:167 | Handling /InspectAI review command for hj2713/2020-Coding-Challenge#1 by comse6998-inspectai[bot]
2025-11-28 00:20:42 | INFO     | src.api.webhooks:173 | Using GitHub App installation token for installation 96944994
2025-11-28 00:20:42 | INFO     | src.github.client:551 | Posting comment on PR #1
2025-11-28 00:20:43 | INFO     | src.api.webhooks:207 | Successfully posted Hello World comment on hj2713/2020-Coding-Challenge#1
2025-11-28 00:20:44 | WARNING  | src.api.webhooks:242 | Webhook signature verification SKIPPED - no secret configured
2025-11-28 00:20:44 | INFO     | src.api.webhooks:255 | Received issue_comment event (delivery: fcb192f0-cc19-11f0-8ef4-5b4dc079cac4)
2025-11-28 00:20:44 | INFO     | src.api.webhooks:318 | /InspectAI review command detected on hj2713/2020-Coding-Challenge#1 by comse6998-inspectai[bot]
2025-11-28 00:20:44 | INFO     | src.api.webhooks:167 | Handling /InspectAI review command for hj2713/2020-Coding-Challenge#1 by comse6998-inspectai[bot]
2025-11-28 00:20:44 | INFO     | src.api.webhooks:173 | Using GitHub App installation token for installation 96944994
2025-11-28 00:20:44 | INFO     | src.github.client:551 | Posting comment on PR #1
2025-11-28 00:20:44 | INFO     | src.api.webhooks:207 | Successfully posted Hello World comment on hj2713/2020-Coding-Challenge#1
2025-11-28 00:20:45 | WARNING  | src.api.webhooks:242 | Webhook signature verification SKIPPED - no secret configured
2025-11-28 00:20:45 | INFO     | src.api.webhooks:255 | Received issue_comment event (delivery: fdbc7340-cc19-11f0-9723-9241b2216096)
2025-11-28 00:20:45 | INFO     | src.api.webhooks:318 | /InspectAI review command detected on hj2713/2020-Coding-Challenge#1 by comse6998-inspectai[bot]
2025-11-28 00:20:45 | INFO     | src.api.webhooks:167 | Handling /InspectAI review command for hj2713/2020-Coding-Challenge#1 by comse6998-inspectai[bot]
2025-11-28 00:20:45 | INFO     | src.api.webhooks:173 | Using GitHub App installation token for installation 96944994
2025-11-28 00:20:45 | INFO     | src.github.client:551 | Posting comment on PR #1
2025-11-28 00:20:46 | INFO     | src.api.webhooks:207 | Successfully posted Hello World comment on hj2713/2020-Coding-Challenge#1
2025-11-28 00:20:47 | WARNING  | src.api.webhooks:242 | Webhook signature verification SKIPPED - no secret configured
2025-11-28 00:20:47 | INFO     | src.api.webhooks:255 | Received issue_comment event (delivery: feba3430-cc19-11f0-8189-51ea83c1d7be)
2025-11-28 00:20:47 | INFO     | src.api.webhooks:318 | /InspectAI review command detected on hj2713/2020-Coding-Challenge#1 by comse6998-inspectai[bot]
2025-11-28 00:20:47 | INFO     | src.api.webhooks:167 | Handling /InspectAI review command for hj2713/2020-Coding-Challenge#1 by comse6998-inspectai[bot]
2025-11-28 00:20:47 | INFO     | src.api.webhooks:173 | Using GitHub App installation token for installation 96944994
2025-11-28 00:20:47 | INFO     | src.github.client:551 | Posting comment on PR #1
2025-11-28 00:20:48 | INFO     | src.api.webhooks:207 | Successfully posted Hello World comment on hj2713/2020-Coding-Challenge#1
2025-11-28 00:20:49 | WARNING  | src.api.webhooks:242 | Webhook signature verification SKIPPED - no secret configured
2025-11-28 00:20:49 | INFO     | src.api.webhooks:255 | Received issue_comment event (delivery: ffa2e680-cc19-11f0-9869-cae051d63407)
2025-11-28 00:20:49 | INFO     | src.api.webhooks:318 | /InspectAI review command detected on hj2713/2020-Coding-Challenge#1 by comse6998-inspectai[bot]
2025-11-28 00:20:49 | INFO     | src.api.webhooks:167 | Handling /InspectAI review command for hj2713/2020-Coding-Challenge#1 by comse6998-inspectai[bot]
2025-11-28 00:20:49 | INFO     | src.api.webhooks:173 | Using GitHub App installation token for installation 96944994
2025-11-28 00:20:49 | INFO     | src.github.client:551 | Posting comment on PR #1
2025-11-28 00:20:49 | INFO     | src.api.webhooks:207 | Successfully posted Hello World comment on hj2713/2020-Coding-Challenge#1
2025-11-28 00:20:51 | WARNING  | src.api.webhooks:242 | Webhook signature verification SKIPPED - no secret configured
2025-11-28 00:20:51 | INFO     | src.api.webhooks:255 | Received issue_comment event (delivery: 00e66300-cc1a-11f0-899d-efd51d7a5483)
